artist_name,artist_followers,artist_genres,artist_popularity,track_name,album_name,release_date,track_duration,track_popularity
KAROL G,52990619,"reggaeton, reggaeton colombiano, urbano latino",91,BICHOTA,BICHOTA,2020-10-23,178,64
Myke Towers,17754689,"reggaeton, trap latino, urbano latino",90,Bandido,Bandido,2020-12-10,232,69
Miley Cyrus,25237801,pop,84,Prisoner (feat. Dua Lipa),Prisoner (feat. Dua Lipa),2020-11-20,169,1
The Weeknd,96449542,"canadian contemporary r&b, canadian pop, pop",96,Blinding Lights,After Hours,2020-03-20,200,87
Ariana Grande,102039011,pop,96,test drive,Positions (Deluxe),2021-02-19,122,60
Internet Money,902353,"pop rap, trap",71,Lemonade,"Lemonade (feat. Gunna, Don Toliver & NAV)",2020-08-14,195,19
Harry Styles,33256201,pop,85,Watermelon Sugar,Fine Line,2019-12-13,174,81
Billie Eilish,104092602,"art pop, pop",96,Lost Cause,Lost Cause,2021-06-02,212,0
DJ Snake,8959842,"dance pop, edm, electronic trap, pop, pop dance",79,Selfish Love (with Selena Gomez),Selfish Love (with Selena Gomez),2021-03-04,168,52
Pop Smoke,14805014,"brooklyn drill, hip hop, rap",80,What You Know Bout Love,LOVE,2021-05-14,160,0
BTS,77196288,"k-pop, k-pop boy group, pop",87,Dynamite,BE,2020-11-20,199,2
Joel Corry,443550,"dance pop, pop dance, uk dance",72,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),2020-07-03,166,73
Saweetie,2411634,"cali rap, trap queen",71,Best Friend (feat. Doja Cat),Best Friend (feat. Doja Cat),2021-01-07,155,64
Drake,94383636,"canadian hip hop, canadian pop, hip hop, pop rap, rap",96,What’s Next,Scary Hours 2,2021-03-05,178,64
ROSÉ,8905940,k-pop,90,On The Ground,R,2021-03-12,168,70
Justin Bieber,79521536,"canadian pop, pop",92,As I Am (feat. Khalid),Justice,2021-03-19,174,60
BTS,77196288,"k-pop, k-pop boy group, pop",87,Permission to Dance,Butter / Permission to Dance,2021-07-09,187,0
Demi Lovato,26886058,"pop, post-teen pop",79,Met Him Last Night (feat. Ariana Grande),Dancing With The Devil…The Art of Starting Over,2021-04-02,204,50
J. Cole,25269526,"conscious hip hop, hip hop, north carolina hip hop, rap",87,m y . l i f e (with 21 Savage & Morray),The Off-Season,2021-05-14,218,71
WILLOW,2779565,"afrofuturism, pop, post-teen pop, pov: indie",72,t r a n s p a r e n t s o u l feat. Travis Barker,t r a n s p a r e n t s o u l feat. Travis Barker,2021-04-27,168,59
Post Malone,46064066,"dfw rap, melodic rap, pop, rap",90,Motley Crew,Motley Crew,2021-07-09,184,67
Farruko,16229155,"reggaeton, trap latino, urbano latino",84,Pepas,Pepas,2021-06-24,287,75
Lil Nas X,12403081,lgbtq+ hip hop,76,THATS WHAT I WANT,MONTERO,2021-09-17,143,73
Lizzo,5709007,"escape room, minnesota hip hop, pop, trap queen",70,Rumors (feat. Cardi B),Rumors (feat. Cardi B),2021-08-13,172,58
Bruno Mars,64329544,"dance pop, pop",96,Skate,Skate,2021-07-30,203,1
Elton John,14167109,"glam rock, mellow gold, piano rock, rock",86,Cold Heart - PNAU Remix,Cold Heart (PNAU Remix),2021-08-13,202,78
